字	讀音	變音	訓釋	附註
日	zyuq8	gniq8, maq8, miq8, gni	讀音爲 zyuq8，俗音言日頭或每日呼 gniq8，今日呼 ci1-maq8 或 ci1-miq8，昨日呼 zaong6-gni。	時音「今日」ciq7-miq8，「昨日」zaon6-gniq8 或 zaon6-maq8。
虹	ghong2	heu5	讀音爲 ghong2，俗音呼 heu5。	本字或為「雩」。
霞	yo2, ya2	gho2	讀音爲 yo2 或爲 ya2，俗音呼 gho2。	
暴	bau6	pau5	風暴之暴俗音呼 pau5，暴虐之暴俗音仍呼 bau6。	
颱	dae2	da	秋季驟風雨曰秋颱，俗音呼 da。	本字待考。
凙	doq8	daong	雪釋簷霤凝結成冰如棒，俗曰庭凙，凙呼作 daong。	時音 jin2-daon 或 din2-daon，本字待考。
水	sei3	sy3, syu3	讀音如 sei3，俗音如 sy3，亦呼 syu3。	時音白讀 syu3。
石	ziq8	zaq8	讀音爲 ziq8 或 zaq8，惟石榴花之石仍呼 ziq8。	時音僅 zaq8 一讀。
江	ciang1	kaong1	讀音爲 ciang1 亦爲 kaong1，俗音皆呼 kaong1。	時音僅 kaon1 一讀。
界	cie5	ka5	讀音爲 cie5 或 ka5，俗音皆呼 ka5。	時音文讀 cia5。
野	ie3	ya4	讀音爲 ie3，俗音呼 ya4。	時音僅 ya6 一讀。
池	dzy2	dzi2, dzyu2	讀音爲 dzy2，俗音呼 dzi2 或 dzyu2。	時音已無 dzyu2 這一讀。
㽘	kaong3	gaong	讀音爲 kaong3，俗音呼 gaong，如地㽘。	
埏	yin2	in	讀音爲 yin2，俗音呼 in，如邊埏。	時音「邊沿」pi1-yi2，此處本字和讀音或有誤。
